Player,Pos,Ht,Wt,Exp,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Season
Antonio Davis,C,206,98,7,32,78,77,35.0,4.8,11.1,.433,0.0,0.0,.000,4.8,11.1,.434,.433,4.1,5.4,.754,3.5,6.6,10.1,1.4,0.3,1.9,1.7,2.9,13.7,2001
Mark Jackson,PG,185,82,13,35,54,54,33.4,3.1,7.5,.422,1.1,3.1,.345,2.1,4.4,.475,.493,1.2,1.4,.842,0.8,2.6,3.4,9.2,1.2,0.1,2.2,1.5,8.5,2001
Garth Joseph,C,218,143,0,27,2,0,4.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,1.0,2001
Eric Montross,C,213,122,6,29,12,1,6.8,0.5,1.4,.353,0.0,0.0,,0.5,1.4,.353,.353,0.1,0.4,.200,0.8,1.7,2.4,0.3,0.3,0.3,0.3,1.3,1.1,2001
Tracy Murray,SF,201,102,8,29,38,1,11.9,2.0,5.1,.399,0.8,2.1,.363,1.3,3.0,.425,.474,0.6,0.8,.750,0.5,1.1,1.6,0.4,0.2,0.2,0.5,1.2,5.4,2001
Mamadou N'Diaye,C,213,116,0,25,3,0,3.3,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.7,0.7,1.000,0.3,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.3,2001
Charles Oakley,PF,203,102,15,37,78,77,35.5,3.9,10.1,.388,0.1,0.6,.224,3.8,9.4,.399,.395,1.6,1.9,.836,1.8,7.7,9.5,3.4,1.0,0.6,1.8,3.3,9.6,2001
Morris Peterson,SG,201,99,0,23,80,49,22.6,3.6,8.4,.431,0.8,2.1,.382,2.8,6.4,.447,.478,1.3,1.8,.717,1.4,1.8,3.2,1.3,0.8,0.3,1.0,2.1,9.3,2001
Michael Stewart,C,208,104,3,25,26,0,4.7,0.4,1.3,.324,0.0,0.0,,0.4,1.3,.324,.324,0.4,0.7,.611,0.6,0.5,1.1,0.1,0.2,0.1,0.2,0.7,1.3,2001
Alvin Williams,SG,196,84,3,26,82,34,29.2,4.0,9.4,.430,0.4,1.3,.306,3.6,8.0,.451,.452,1.3,1.8,.752,0.6,2.0,2.6,5.0,1.5,0.3,1.3,2.1,9.8,2001
Jerome Williams,PF,206,93,4,27,26,0,14.5,1.8,3.6,.516,0.0,0.0,.000,1.8,3.5,.522,.516,1.3,1.7,.778,1.3,2.7,4.0,0.5,0.7,0.4,0.6,1.7,5.0,2001
Corliss Williamson,SF,201,111,5,27,42,31,21.1,3.6,7.7,.471,0.0,0.0,.000,3.6,7.7,.474,.471,2.0,3.1,.646,1.4,2.3,3.6,0.8,0.4,0.3,1.5,2.3,9.3,2001
Kevin Willis,C,213,100,15,38,35,9,22.0,3.5,7.7,.461,0.0,0.1,.000,3.5,7.6,.464,.461,1.7,2.3,.753,1.9,4.4,6.4,0.6,0.5,0.6,1.1,2.2,8.8,2001
Cory Alexander,PG,185,84,5,27,26,0,8.7,0.7,2.2,.321,0.2,0.6,.250,0.5,1.5,.350,.357,0.5,0.7,.667,0.0,1.0,1.0,1.4,0.6,0.0,1.0,1.1,2.0,2001
John Amaechi,C,208,122,2,30,82,36,20.9,2.9,7.2,.400,0.0,0.1,.000,2.9,7.1,.405,.400,2.1,3.4,.631,0.9,2.3,3.3,0.9,0.3,0.4,1.5,2.1,7.9,2001
Darrell Armstrong,PG,183,77,6,32,75,75,36.9,5.5,13.4,.412,1.9,5.4,.355,3.6,8.0,.451,.484,2.9,3.3,.884,1.3,3.3,4.6,7.0,1.8,0.2,2.7,2.1,15.9,2001
Dee Brown,PG,185,73,10,32,7,0,22.1,2.3,6.3,.364,1.7,4.6,.375,0.6,1.7,.333,.500,0.6,0.7,.800,0.0,1.6,1.6,1.7,0.6,0.0,1.0,1.4,6.9,2001
Andrew DeClercq,C,208,104,5,27,67,51,13.5,1.6,2.9,.554,0.0,0.0,,1.6,2.9,.554,.554,0.7,1.2,.573,1.4,2.2,3.5,0.5,0.6,0.5,0.8,3.0,3.9,2001
Michael Doleac,C,211,119,2,23,77,21,18.2,2.9,6.8,.417,0.0,0.0,.000,2.9,6.8,.420,.417,0.6,0.8,.847,0.9,2.6,3.5,0.8,0.5,0.5,0.8,3.1,6.4,2001
Pat Garrity,SF,206,108,2,24,76,1,20.8,2.9,7.6,.387,1.3,2.9,.433,1.7,4.6,.358,.471,1.1,1.3,.867,0.7,2.1,2.8,0.7,0.5,0.2,0.9,3.2,8.3,2001
Grant Hill,SF,203,102,6,28,4,4,33.3,4.8,10.8,.442,0.3,0.3,1.000,4.5,10.5,.429,.453,4.0,6.5,.615,2.0,4.3,6.3,6.3,1.3,0.5,2.8,2.3,13.8,2001
